OBJECTID,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,OLD_ZONING,ZONE_DISTRICT,GLOBALID,ZONING,SHAPEAREA,SHAPELEN
151954,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-2/,"Official Digital Zoning Map of July 1, 2010",Final,MU-2,Permits medium density residential and non-residential buildings,SP-2,Mixed-Use Zone,,,0,0
151955,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-2/,"Zoning mapping error fixed in Square 732 on lot 892 on March 8, 2012",Final,MU-2,Permits medium density residential and non-residential buildings,SP-2,Mixed-Use Zone,,,0,0
151956,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151957,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151958,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-3,"Production, Distribution, and Repair Zone",,,0,0
151959,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,"Misc map correction in Square 3581 on March 23, 2012",Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses",M,"Production, Distribution, and Repair Zone",,,0,0
151960,http://handbook.dcoz.dc.gov/zones/residential/R-1-A/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-A,Provides areas predominantly developed with detached houses on large lots.,R-1-A,Residential Zone,,,0,0
151961,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151962,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-19/,Created by ZC # 12-08 on 4/3/2013,Final,StE-19,Supports the St. Elizabeth's Campus Master Plan.,StE-19,Special Purpose Zone,,,0,0
151963,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-1/,Created by ZC # 12-08 on 4/3/2013,Final,StE-1,Supports the St. Elizabeth's Campus Master Plan.,StE-1,Special Purpose Zone,,,0,0
151964,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-2/,Created by ZC # 12-08 on 4/3/2013,Final,StE-2,Supports the St. Elizabeth's Campus Master Plan.,StE-2,Special Purpose Zone,,,0,0
151965,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-4/,Created by ZC # 12-08 on 4/3/2013,Final,StE-4,Supports the St. Elizabeth's Campus Master Plan.,StE-4,Special Purpose Zone,,,0,0
151966,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-3/,Created by ZC # 12-08 on 4/3/2013,Final,StE-3,Supports the St. Elizabeth's Campus Master Plan.,StE-3,Special Purpose Zone,,,0,0
151967,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed Error from reduction, 11/6/13",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151968,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151969,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Map corrections ZC 08-03 April 26, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151907,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed Zoning Boundary in Square 4506 to match official zoning records on Apr 24, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151908,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Misc map corrections in Square 0620 on April 12, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151909,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151910,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151911,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Misc map correction in Square 3581 on March 23, 2012",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-2,"Production, Distribution, and Repair Zone",,,0,0
151912,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151913,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151914,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Fixed zoning boundary in Square 2581 on March 19, 2012 to match official zoning records",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151915,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151916,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Fixed zoning boundary to match official zoning records on March 19, 2012; ZC 03-24",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151917,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151918,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed Mapping error in Square 1798 on March 15, 2012 to match official zoning map",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151919,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151920,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151921,http://handbook.dcoz.dc.gov/,"Misc map corrections in Square 1318, 1319 on Apr 20, 2012",Final,UNZONED,,UNZONED,Unzoned,,,0,0
151922,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151923,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Zoning Correction made on March 12, 2012 in Square 1048 to match DCGIS Baist Map, Fixed zoning map error near Square 1067 and 1080S on March 12, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151924,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed Zoning boundary in Square 5557 on March 30, 2012 to match official zoning records",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151925,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
151926,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151927,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Misc map correction in Square 3317, 3322 on March 23, 2012",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151928,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151929,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed Zoning boundary in Square 2087 to run along edge of lots on March 16, 2012; Misc map corrections in Square 2069 on April 27, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151930,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151931,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-2,"Production, Distribution, and Repair Zone",,,0,0
151932,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151933,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151934,http://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Correction Made 11/6/13, Merged wrongly created C-3 PUD Zoning with correct underlying zoning",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,SP-2,Downtown Zone,,,0,0
151935,http://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Official Digital Zoning Map of July 1, 2010",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,SP-2,Downtown Zone,,,0,0
151936,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,"Zoning Correction made on March 12, 2012 in Square 1048 to match DCGIS Baist Map",Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses",M,"Production, Distribution, and Repair Zone",,,0,0
151937,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151938,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Correction made on Feb 27, 2012 to match DCGIS Baist Map ",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151939,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-12/,"Official Digital Zoning Map of July 1, 2010",Final,MU-12,Permits moderate density mixed-use development in the vicinity of the waterfront,W-1,Mixed-Use Zone,,,0,0
151940,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-12/,"Official Digital Zoning Map of July 1, 2010",Final,MU-12,Permits moderate density mixed-use development in the vicinity of the waterfront,W-1,Mixed-Use Zone,,,0,0
151941,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151942,http://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Adjusted erroneous boundary, reverted back to 61' dimension line, 12/5/2018",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,C-3-C,Downtown Zone,,,0,0
151943,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed zoning boundary in alley in Squares 1868, 1873 on March 15, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151944,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151945,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed zoning boundary in Square 2729 on April 24, 2012 to match official zoning records",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151948,http://handbook.dcoz.dc.gov/zones/downtown/d-6/,"Correction made on March 1, 2012 to match DCGIS Baist Map ",Final,D-6,Permits high-density commercial and residential development,C-4,Downtown Zone,,,0,0
151949,http://handbook.dcoz.dc.gov/zones/downtown/d-6/,"Adjusted erroneous boundary, reverted back to 61' dimension line, 12/5/2018",Final,D-6,Permits high-density commercial and residential development,C-4,Downtown Zone,,,0,0
151946,http://handbook.dcoz.dc.gov/zones/residential/R-1-A/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-A,Provides areas predominantly developed with detached houses on large lots.,R-1-A,Residential Zone,,,0,0
151947,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151950,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151951,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151952,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-14/,"Zoning Correction made on March 12, 2012 in Square 1190 and 1191 to match DCGIS Baist Map",Final,MU-14,Permits high density mixed-use development in the vicinity of the waterfront,W-3,Mixed-Use Zone,,,0,0
152022,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Fixed Map Error, March 15, 2011",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
152023,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed Error mapping Case 87-34, 04/01/2011, March 13, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
152024,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,"Temporarily Update Map until Correction MA filed, 06/27/11",Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses",M,"Production, Distribution, and Repair Zone",,,0,0
152025,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Order 11-04, 09/12/2011",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
152021,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
152026,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Order 11-06, 09/02/2011",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
152027,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,No change in Zoning based on Zoning Commission Order #821,Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses",M,"Production, Distribution, and Repair Zone",,,0,0
152028,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,Misc map corrections,Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
152029,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Misc map corrections in Square 0502 on Apr 12, 2012",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
152030,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
152031,http://handbook.dcoz.dc.gov/zones/neighborhood-mixed-use/nc-1/,"Official Digital Zoning Map of July 1, 2010",Final,NC-1,Permits low density mixed use development ,MW/C-1,Neighborhood Mixed-Use Zone,,,0,0
152032,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/reed-cooke/rc-2/,"Official Digital Zoning Map of July 1, 2010",Final,RC-2,Permits moderate density mixed-use development at a limited height with an emphasis on housing,RC/C-2-A,Special Purpose Zone,,,0,0
