address_id,status,type_,entrancetype,quadrant,fulladdress,objectid_1,assessment_nbhd,cfsa_name,census_tract,vote_prcnct,ward,zipcode,anc,census_block,census_blockgroup,latitude,longitude,active_res_unit_count,res_type,active_res_occupancy_count,unit_id,unitnum,unittype
61038,ACTIVE,ADDRESS,OFFICIAL,NE,1530 RHODE ISLAND AVENUE NE,1459,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 70,Ward 5,20018,ANC 5B,009301 3018,009301 3,38.92625242,-76.9828831,44,RESIDENTIAL,44,106474,408,RENTAL
314559,ACTIVE,ADDRESS,OFFICIAL,NE,400 GALLOWAY STREET NE,NA,Brookland,Edgewood/Brookland Family Support Collaborative,009508,Precinct 66,Ward 5,20011,ANC 5A,009508 3005,009508 3,38.953157590000004,-76.99885024,203,RESIDENTIAL,203,273926,335S,RENTAL
59554,ACTIVE,ADDRESS,OFFICIAL,NE,1617 IRVING STREET NE,1459,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 70,Ward 5,20018,ANC 5B,009301 3009,009301 3,38.92884591,-76.98163635,0,RESIDENTIAL,1,NA,NA,NA
311575,ACTIVE,ADDRESS,OFFICIAL,NE,5661 3RD STREET NE,NA,Riggs Park,Georgia Avenue/Rock Creek East Collaborative,009505,Precinct 65,Ward 4,20011,ANC 4B,009505 3013,009505 3,38.95861126,-77.00265943,345,RESIDENTIAL,345,241885,121,RENTAL
26703,ACTIVE,ADDRESS,OFFICIAL,NE,4116 13TH PLACE NE,1442,Brookland,Edgewood/Brookland Family Support Collaborative,009503,Precinct 68,Ward 5,20017,ANC 5B,009503 3010,009503 3,38.94035126,-76.98740132,0,RESIDENTIAL,1,NA,NA,NA
57414,ACTIVE,ADDRESS,OFFICIAL,NE,1715 L STREET NE,2478,Trinidad,Edgewood/Brookland Family Support Collaborative,008903,Precinct 78,Ward 5,20002,ANC 5D,008903 1012,008903 1,38.90355376,-76.97951926,0,RESIDENTIAL,1,NA,NA,NA
66778,ACTIVE,ADDRESS,OFFICIAL,NE,134 QUINCY PLACE NE,1937,Eckington,Edgewood/Brookland Family Support Collaborative,008701,Precinct 75,Ward 5,20002,ANC 5E,008701 1007,008701 1,38.91201733,-77.00541478,0,RESIDENTIAL,1,NA,NA,NA
69497,ACTIVE,ADDRESS,OFFICIAL,NE,1254 MEIGS PLACE NE,2472,Trinidad,Edgewood/Brookland Family Support Collaborative,008804,Precinct 78,Ward 5,20002,ANC 5D,008804 2011,008804 2,38.90775367,-76.98442222,4,RESIDENTIAL,4,289176,4,RENTAL
82477,ACTIVE,ADDRESS,OFFICIAL,NE,919 MARYLAND AVENUE NE,935,Old City 1,South Washington/West of the River Collaborative,008100,Precinct 85,Ward 6,20002,ANC 6A,008100 1003,008100 1,38.89590392,-76.99300429,2,RESIDENTIAL,2,115201,2,CONDO
74266,ACTIVE,ADDRESS,OFFICIAL,NE,111 R STREET NE,2597,Eckington,Edgewood/Brookland Family Support Collaborative,008701,Precinct 75,Ward 5,20002,ANC 5E,008701 1007,008701 1,38.9123361,-77.00608402,2,RESIDENTIAL,2,225902,1,RENTAL
287351,ACTIVE,ADDRESS,OFFICIAL,NE,3001 BLADENSBURG ROAD NE,1239,Fort Lincoln,Edgewood/Brookland Family Support Collaborative,009000,Precinct 139,Ward 5,20018,ANC 5C,009000 2002,009000 2,38.92835972,-76.96023556,188,RESIDENTIAL,188,178517,401,RENTAL
149364,ACTIVE,ADDRESS,OFFICIAL,NE,4830 FORT TOTTEN DRIVE NE,1390,Brookland,Edgewood/Brookland Family Support Collaborative,009501,Precinct 44,Ward 5,20011,ANC 5A,009501 1001,009501 1,38.94940614,-77.00705207,15,RESIDENTIAL,15,103569,102,RENTAL
149192,ACTIVE,ADDRESS,OFFICIAL,NE,1115 21ST STREET NE,2483,Trinidad,Edgewood/Brookland Family Support Collaborative,008903,Precinct 78,Ward 5,20002,ANC 5D,008903 2001,008903 2,38.90505858,-76.97394813,13,RESIDENTIAL,13,126196,J,RENTAL
151152,ACTIVE,ADDRESS,OFFICIAL,NE,800 F STREET NE,2005,Old City 1,South Washington/West of the River Collaborative,008402,Precinct 82,Ward 6,20002,ANC 6A,008402 2005,008402 2,38.89749921,-76.9947401,2,RESIDENTIAL,2,133881,1,RENTAL
38116,ACTIVE,ADDRESS,OFFICIAL,NE,322 DOUGLAS STREET NE,1480,Brookland,Edgewood/Brookland Family Support Collaborative,009204,Precinct 74,Ward 5,20002,ANC 5E,009204 1004,009204 1,38.92362468,-77.00135513,0,RESIDENTIAL,1,NA,NA,NA
301198,ACTIVE,ADDRESS,OFFICIAL,NE,800 KENILWORTH AVENUE NE,NA,Lily Ponds,East of the River Collaborative,009602,Precinct 100,Ward 7,20019,ANC 7D,009602 1011,009602 1,38.90123781,-76.94574358,189,RESIDENTIAL,189,178769,122,RENTAL
1967,ACTIVE,ADDRESS,OFFICIAL,NE,641 C STREET NE,942,Old City 1,South Washington/West of the River Collaborative,008302,Precinct 85,Ward 6,20002,ANC 6C,008302 1017,008302 1,38.89341426,-76.99688768,0,RESIDENTIAL,1,NA,NA,NA
146364,ACTIVE,ADDRESS,OFFICIAL,NE,637 3RD STREET NE,1999,Old City 1,South Washington/West of the River Collaborative,008301,Precinct 84,Ward 6,20002,ANC 6C,008301 1005,008301 1,38.89835502,-77.0018017,30,RESIDENTIAL,30,12509,306,CONDO
310088,ACTIVE,ADDRESS,OFFICIAL,NE,55 M STREET NE,NA,NoMa,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2022,010600 2,38.90544902,-77.00701267,438,RESIDENTIAL,438,295420,1101,CONDO
30275,ACTIVE,ADDRESS,OFFICIAL,NE,3820 17TH PLACE NE,1452,Brookland,Edgewood/Brookland Family Support Collaborative,009503,Precinct 68,Ward 5,20018,ANC 5B,009503 2008,009503 2,38.93687102,-76.98092758,0,RESIDENTIAL,1,NA,NA,NA
35415,ACTIVE,ADDRESS,OFFICIAL,NE,3392 BLAINE STREET NE,2295,Lily Ponds,East of the River Collaborative,009604,Precinct 101,Ward 7,20019,ANC 7D,009604 1004,009604 1,38.89194039,-76.95706406,12,RESIDENTIAL,12,132006,2D,RENTAL
81446,ACTIVE,ADDRESS,OFFICIAL,NE,85 HAWAII AVENUE NE,1391,Brookland,Edgewood/Brookland Family Support Collaborative,009501,Precinct 44,Ward 5,20011,ANC 5A,009501 2002,009501 2,38.94508357,-77.00604182,8,RESIDENTIAL,8,74349,202,RENTAL
15215,ACTIVE,ADDRESS,OFFICIAL,NE,501 12TH STREET NE,938,Old City 1,South Washington/West of the River Collaborative,008001,Precinct 81,Ward 6,20002,ANC 6A,008001 2003,008001 2,38.89636249,-76.98990251,25,RESIDENTIAL,25,99270,35,RENTAL
285974,ACTIVE,ADDRESS,OFFICIAL,NE,1240 4TH STREET NE,1613,Brentwood,Edgewood/Brookland Family Support Collaborative,008803,Precinct 76,Ward 5,20002,ANC 5D,008803 1028,008803 1,38.90763736,-77.0004666,213,MIXED USE,213,263774,624,RENTAL
81418,ACTIVE,ADDRESS,OFFICIAL,NE,847 48TH STREET NE,1901,Deanwood,East of the River Collaborative,007809,Precinct 94,Ward 7,20019,ANC 7C,007809 2011,007809 2,38.9011752,-76.93354048,2,RESIDENTIAL,2,220070,B,RENTAL
306518,ACTIVE,ADDRESS,OFFICIAL,NE,2300 WASHINGTON PLACE NE,NA,Brentwood,Edgewood/Brookland Family Support Collaborative,009102,Precinct 72,Ward 5,20018,ANC 5C,009102 2022,009102 2,38.92041755,-76.99543999,128,RESIDENTIAL,128,222187,202,RENTAL
67564,ACTIVE,ADDRESS,OFFICIAL,NE,1325 ALLISON STREET NE,1423,Brookland,Edgewood/Brookland Family Support Collaborative,009503,Precinct 67,Ward 5,20017,ANC 5A,009503 1007,009503 1,38.94504612,-76.98747282,0,RESIDENTIAL,1,NA,NA,NA
149284,ACTIVE,ADDRESS,OFFICIAL,NE,2503 14TH STREET NE,1630,Brentwood,Edgewood/Brookland Family Support Collaborative,009102,Precinct 72,Ward 5,20018,ANC 5C,009102 3000,009102 3,38.92274224,-76.98624144,9,RESIDENTIAL,9,33497,4,RENTAL
299625,ACTIVE,ADDRESS,OFFICIAL,NE,200 K STREET NE,1991,Old City 1,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2037,010600 2,38.90275783,-77.00304068,595,RESIDENTIAL,595,302130,1036,RENTAL
310088,ACTIVE,ADDRESS,OFFICIAL,NE,55 M STREET NE,NA,NoMa,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2022,010600 2,38.90544902,-77.00701267,438,RESIDENTIAL,438,291906,1008,CONDO
311211,ACTIVE,ADDRESS,OFFICIAL,NE,61 PIERCE STREET NE,NA,NoMa,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2026,010600 2,38.90452193,-77.00722564,416,MIXED USE,416,286572,130,RENTAL
151262,ACTIVE,ADDRESS,OFFICIAL,NE,3298 FORT LINCOLN DRIVE NE,1239,Fort Lincoln,Edgewood/Brookland Family Support Collaborative,009000,Precinct 139,Ward 5,20018,ANC 5C,009000 1010,009000 1,38.92134787,-76.95697036,320,RESIDENTIAL,320,181671,1009,RENTAL
43541,ACTIVE,ADDRESS,OFFICIAL,NE,2905 OTIS STREET NE,2528,Woodridge,Edgewood/Brookland Family Support Collaborative,009400,Precinct 69,Ward 5,20018,ANC 5C,009400 3008,009400 3,38.93491907,-76.96636813,0,RESIDENTIAL,1,NA,NA,NA
299625,ACTIVE,ADDRESS,OFFICIAL,NE,200 K STREET NE,1991,Old City 1,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2037,010600 2,38.90275783,-77.00304068,595,RESIDENTIAL,595,302593,804,RENTAL
70394,ACTIVE,ADDRESS,OFFICIAL,NE,1231 PENN STREET NE,2469,Trinidad,Edgewood/Brookland Family Support Collaborative,008802,Precinct 77,Ward 5,20002,ANC 5D,008802 4000,008802 4,38.9060031,-76.98681168,4,RESIDENTIAL,4,127479,4,RENTAL
63873,ACTIVE,ADDRESS,OFFICIAL,NE,1427 IRVING STREET NE,1460,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 73,Ward 5,20017,ANC 5B,009301 3007,009301 3,38.92868245,-76.98513868,0,RESIDENTIAL,1,NA,NA,NA
69455,ACTIVE,ADDRESS,OFFICIAL,NE,1252 HAMLIN STREET NE,1460,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 73,Ward 5,20017,ANC 5B,009301 2024,009301 2,38.92787774,-76.98917748,0,RESIDENTIAL,1,NA,NA,NA
9903,ACTIVE,ADDRESS,OFFICIAL,NE,533 59TH STREET NE,1918,Deanwood,East of the River Collaborative,007807,Precinct 95,Ward 7,20019,ANC 7C,007807 1012,007807 1,38.89683407,-76.91616723,0,RESIDENTIAL,1,NA,NA,NA
61038,ACTIVE,ADDRESS,OFFICIAL,NE,1530 RHODE ISLAND AVENUE NE,1459,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 70,Ward 5,20018,ANC 5B,009301 3018,009301 3,38.92625242,-76.9828831,44,RESIDENTIAL,44,103969,206,RENTAL
58518,ACTIVE,ADDRESS,OFFICIAL,NE,1645 ROSEDALE STREET NE,2020,Old City 1,South Washington/West of the River Collaborative,007901,Precinct 81,Ward 6,20002,ANC 6A,007901 4005,007901 4,38.89722284,-76.98096723,0,RESIDENTIAL,1,NA,NA,NA
310430,ACTIVE,ADDRESS,OFFICIAL,NE,4020 MINNESOTA AVENUE NE,NA,Deanwood,East of the River Collaborative,007803,Precinct 99,Ward 7,20019,ANC 7F,007803 1014,007803 1,38.89592416,-76.94893498,378,MIXED USE,378,233175,275,RENTAL
18146,ACTIVE,ADDRESS,OFFICIAL,NE,4709 13TH PLACE NE,1033,Riggs Park,Edgewood/Brookland Family Support Collaborative,009503,Precinct 67,Ward 5,20017,ANC 5A,009503 1005,009503 1,38.94699305,-76.98806172,0,RESIDENTIAL,1,NA,NA,NA
54820,ACTIVE,ADDRESS,OFFICIAL,NE,1839 CORCORAN STREET NE,1608,Brentwood,Edgewood/Brookland Family Support Collaborative,008803,Precinct 76,Ward 5,20002,ANC 5D,008803 1016,008803 1,38.91199792,-76.9870783,0,RESIDENTIAL,1,NA,NA,NA
37300,ACTIVE,ADDRESS,OFFICIAL,NE,33 N STREET NE,994,NoMa,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2023,010600 2,38.90701517,-77.00769617,392,RESIDENTIAL,392,271427,511,RENTAL
38768,ACTIVE,ADDRESS,OFFICIAL,NE,3208 15TH STREET NE,1468,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 73,Ward 5,20017,ANC 5B,009301 4008,009301 4,38.9302926,-76.98447173,0,RESIDENTIAL,1,NA,NA,NA
299625,ACTIVE,ADDRESS,OFFICIAL,NE,200 K STREET NE,1991,Old City 1,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2037,010600 2,38.90275783,-77.00304068,595,RESIDENTIAL,595,302375,321,RENTAL
28174,ACTIVE,ADDRESS,OFFICIAL,NE,401 V STREET NE,2595,Eckington,Edgewood/Brookland Family Support Collaborative,008702,Precinct 75,Ward 5,20002,ANC 5E,008702 1007,008702 1,38.91793692,-77.000363,4,RESIDENTIAL,4,132929,2,RENTAL
146157,ACTIVE,ADDRESS,OFFICIAL,NE,136 MICHIGAN AVENUE NE,1469,Brookland,Edgewood/Brookland Family Support Collaborative,002302,Precinct 44,Ward 5,20017,ANC 5A,002302 1018,002302 1,38.928426,-77.00528363,16,RESIDENTIAL,16,109567,31R,CONDO
149185,ACTIVE,ADDRESS,OFFICIAL,NE,2114 MARYLAND AVENUE NE,2483,Trinidad,Edgewood/Brookland Family Support Collaborative,008903,Precinct 78,Ward 5,20002,ANC 5D,008903 2000,008903 2,38.90503078,-76.97214834,12,RESIDENTIAL,12,277034,103,RENTAL
79758,ACTIVE,ADDRESS,OFFICIAL,NE,804 RANDOLPH STREET NE,1447,Brookland,Edgewood/Brookland Family Support Collaborative,009504,Precinct 68,Ward 5,20017,ANC 5B,009504 1003,009504 1,38.93953059,-76.99401932,4,RESIDENTIAL,4,133911,2,RENTAL
61579,ACTIVE,ADDRESS,OFFICIAL,NE,1522 A STREET NE,2028,Old City 1,South Washington/West of the River Collaborative,008002,Precinct 86,Ward 6,20002,ANC 6A,008002 1005,008002 1,38.89111501,-76.98286029,0,RESIDENTIAL,1,NA,NA,NA
53535,ACTIVE,ADDRESS,OFFICIAL,NE,1942 I STREET NE,684,Trinidad,Edgewood/Brookland Family Support Collaborative,008904,Precinct 79,Ward 5,20002,ANC 5D,008904 1001,008904 1,38.90271481,-76.97485456,4,RESIDENTIAL,4,130916,4,RENTAL
31864,ACTIVE,ADDRESS,OFFICIAL,NE,3707 15TH STREET NE,1451,Brookland,Edgewood/Brookland Family Support Collaborative,009503,Precinct 68,Ward 5,20017,ANC 5B,009503 2011,009503 2,38.93520302,-76.98436513,0,RESIDENTIAL,1,NA,NA,NA
24659,ACTIVE,ADDRESS,OFFICIAL,NE,4234 GRANT STREET NE,1895,Deanwood,East of the River Collaborative,007803,Precinct 99,Ward 7,20019,ANC 7D,007803 1010,007803 1,38.89857264,-76.94045611,0,RESIDENTIAL,1,NA,NA,NA
51496,ACTIVE,ADDRESS,OFFICIAL,NE,2118 4TH STREET NE,2595,Eckington,Edgewood/Brookland Family Support Collaborative,008702,Precinct 75,Ward 5,20002,ANC 5E,008702 1003,008702 1,38.91861714,-77.00087176,3,RESIDENTIAL,3,258199,2,CONDO
5783,ACTIVE,ADDRESS,OFFICIAL,NE,60 L STREET NE,994,NoMa,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2026,010600 2,38.90398817,-77.00753732,320,RESIDENTIAL,320,238304,310,RENTAL
307298,ACTIVE,ADDRESS,OFFICIAL,NE,600 BARNES STREET NE,NA,Lily Ponds,East of the River Collaborative,009602,Precinct 100,Ward 7,20019,ANC 7D,009602 1019,009602 1,38.90008239,-76.95234136,116,RESIDENTIAL,116,223184,120,RENTAL
37300,ACTIVE,ADDRESS,OFFICIAL,NE,33 N STREET NE,994,NoMa,South Washington/West of the River Collaborative,010600,Precinct 83,Ward 6,20002,ANC 6C,010600 2023,010600 2,38.90701517,-77.00769617,392,RESIDENTIAL,392,271766,227,RENTAL
238371,ACTIVE,ADDRESS,OFFICIAL,NW,120 F STREET NW,458,Central-tri 3,South Washington/West of the River Collaborative,005900,Precinct 1,Ward 6,20001,ANC 6C,005900 1018,005900 1,38.8968878,-77.01338688,296,RESIDENTIAL,296,191151,254,RENTAL
279770,ACTIVE,ADDRESS,OFFICIAL,NW,425 L STREET NW,2127,Old City 2,South Washington/West of the River Collaborative,004701,Precinct 1,Ward 6,20001,ANC 6E,004701 2009,004701 2,38.90410326,-77.01740327,422,RESIDENTIAL,422,224565,228,RENTAL
227600,ACTIVE,ADDRESS,OFFICIAL,NW,2015 FLAGLER PLACE NW,185,Ledroit Park,Edgewood/Brookland Family Support Collaborative,003301,Precinct 135,Ward 5,20001,ANC 5E,003301 2003,003301 2,38.91742008,-77.01333411,2,RESIDENTIAL,2,245858,2,CONDO
235400,ACTIVE,ADDRESS,OFFICIAL,NW,1852 COLUMBIA ROAD NW,2275,Kalorama,Columbia Heights/Shaw Collaborative,004002,Precinct 25,Ward 1,20009,ANC 1C,004002 1000,004002 1,38.92118263,-77.04326236,31,RESIDENTIAL,31,176824,603,RENTAL
218835,ACTIVE,ADDRESS,OFFICIAL,NW,4831 36TH STREET NW,1073,Wakefield,Columbia Heights/Shaw Collaborative,001200,Precinct 33,Ward 3,20008,ANC 3F,001200 1002,001200 1,38.95302792,-77.06948354,58,RESIDENTIAL,58,172668,106,RENTAL
279770,ACTIVE,ADDRESS,OFFICIAL,NW,425 L STREET NW,2127,Old City 2,South Washington/West of the River Collaborative,004701,Precinct 1,Ward 6,20001,ANC 6E,004701 2009,004701 2,38.90410326,-77.01740327,422,RESIDENTIAL,422,224543,206,RENTAL
300322,ACTIVE,ADDRESS,OFFICIAL,NW,1301 M STREET NW,2146,Old City 2,Columbia Heights/Shaw Collaborative,005002,Precinct 17,Ward 2,20005,ANC 2F,005002 2005,005002 2,38.90584535,-77.0298984,306,RESIDENTIAL,306,182956,521,RENTAL
228395,ACTIVE,ADDRESS,OFFICIAL,NW,709 PRINCETON PLACE NW,634,Columbia Heights,Columbia Heights/Shaw Collaborative,003200,Precinct 43,Ward 1,20010,ANC 1A,003200 1003,003200 1,38.9357222,-77.02164903,0,RESIDENTIAL,1,NA,NA,NA
277541,ACTIVE,ADDRESS,OFFICIAL,NW,940 25TH STREET NW,792,Foggy Bottom,Columbia Heights/Shaw Collaborative,005600,Precinct 3,Ward 2,20037,ANC 2A,005600 1006,005600 1,38.90171975,-77.05369478,126,RESIDENTIAL,126,85264,617S,RENTAL
284325,ACTIVE,ADDRESS,OFFICIAL,NW,2251 SHERMAN AVENUE NW,608,Columbia Heights,Columbia Heights/Shaw Collaborative,003500,Precinct 37,Ward 1,20001,ANC 1B,003500 2004,003500 2,38.92031081,-77.02464738,917,RESIDENTIAL,917,214859,107E,RENTAL
239664,ACTIVE,ADDRESS,OFFICIAL,NW,940 S STREET NW,2103,Old City 2,South Washington/West of the River Collaborative,004901,Precinct 21,Ward 6,20001,ANC 6E,004901 1002,004901 1,38.9139021,-77.02550579,2,RESIDENTIAL,2,181162,B,RENTAL
243262,ACTIVE,ADDRESS,OFFICIAL,NW,901 RHODE ISLAND AVENUE NW,2103,Old City 2,South Washington/West of the River Collaborative,004901,Precinct 21,Ward 6,20001,ANC 6E,004901 2003,004901 2,38.91174954,-77.02431754,80,MIXED USE,80,230590,314,RENTAL
306116,ACTIVE,ADDRESS,OFFICIAL,NW,1450 CHURCH STREET NW,NA,Old City 2,Columbia Heights/Shaw Collaborative,005201,Precinct 16,Ward 2,20005,ANC 2F,005201 4005,005201 4,38.91023965,-77.03377162,27,RESIDENTIAL,27,184583,504,CONDO
228534,ACTIVE,ADDRESS,OFFICIAL,NW,610 PRINCETON PLACE NW,634,Columbia Heights,Columbia Heights/Shaw Collaborative,003200,Precinct 43,Ward 1,20010,ANC 1A,003200 1005,003200 1,38.93562399,-77.01967877,0,RESIDENTIAL,1,NA,NA,NA
244694,ACTIVE,ADDRESS,OFFICIAL,NW,228 HAMILTON STREET NW,2365,Petworth,Georgia Avenue/Rock Creek East Collaborative,002102,Precinct 57,Ward 4,20011,ANC 4D,002102 4009,002102 4,38.95307567,-77.01465621,4,RESIDENTIAL,4,173415,3,RENTAL
246699,ACTIVE,ADDRESS,OFFICIAL,NW,5517 7TH STREET NW,667,Petworth,Georgia Avenue/Rock Creek East Collaborative,002101,Precinct 56,Ward 4,20011,ANC 4D,002101 2000,002101 2,38.95696634,-77.02209402,0,RESIDENTIAL,1,NA,NA,NA
247755,ACTIVE,ADDRESS,OFFICIAL,NW,3813 7TH STREET NW,663,Petworth,Georgia Avenue/Rock Creek East Collaborative,002400,Precinct 45,Ward 4,20011,ANC 4C,002400 1000,002400 1,38.93818659,-77.02120074,0,RESIDENTIAL,1,NA,NA,NA
274121,ACTIVE,ADDRESS,OFFICIAL,NW,6300 33RD STREET NW,1830,Chevy Chase,Georgia Avenue/Rock Creek East Collaborative,001500,Precinct 51,Ward 4,20015,ANC 3G,001500 5002,001500 5,38.97304329,-77.0666783,0,RESIDENTIAL,1,NA,NA,NA
242068,ACTIVE,ADDRESS,OFFICIAL,NW,2101 NEW HAMPSHIRE AVENUE NW,2213,Old City 2,Columbia Heights/Shaw Collaborative,004300,Precinct 22,Ward 1,20009,ANC 1B,004300 1002,004300 1,38.91841177,-77.03487291,105,RESIDENTIAL,105,88068,402,RENTAL
221828,ACTIVE,ADDRESS,OFFICIAL,NW,3619 ALTON PLACE NW,872,North Cleveland Park,Columbia Heights/Shaw Collaborative,001200,Precinct 33,Ward 3,20008,ANC 3F,001200 3002,001200 3,38.9472498,-77.0707397,0,RESIDENTIAL,1,NA,NA,NA
225745,ACTIVE,ADDRESS,OFFICIAL,NW,1530 16TH STREET NW,2174,Old City 2,Columbia Heights/Shaw Collaborative,005301,Precinct 15,Ward 2,20036,ANC 2B,005301 2000,005301 2,38.91070017,-77.03697508,87,RESIDENTIAL,87,54178,608,RENTAL
241169,ACTIVE,ADDRESS,OFFICIAL,NW,1815 S STREET NW,2179,Old City 2,Columbia Heights/Shaw Collaborative,004202,Precinct 14,Ward 2,20009,ANC 2B,004202 2007,004202 2,38.91434441,-77.04227466,33,RESIDENTIAL,33,71302,227,RENTAL
219283,ACTIVE,ADDRESS,OFFICIAL,NW,2800 QUEBEC STREET NW,812,Forest Hills,Columbia Heights/Shaw Collaborative,001302,Precinct 34,Ward 3,20008,ANC 3C,001302 2001,001302 2,38.93618225,-77.0556844,560,RESIDENTIAL,560,56367,1101,RENTAL
279643,ACTIVE,ADDRESS,OFFICIAL,NW,300 MASSACHUSETTS AVENUE NW,466,Central-tri 3,Columbia Heights/Shaw Collaborative,005900,Precinct 143,Ward 2,20001,ANC 2C,005900 1008,005900 1,38.89964227,-77.01566581,374,RESIDENTIAL,374,178427,1222,RENTAL
244862,ACTIVE,ADDRESS,OFFICIAL,NW,227 MISSOURI AVENUE NW,753,Chillum,Georgia Avenue/Rock Creek East Collaborative,002102,Precinct 57,Ward 4,20011,ANC 4B,002102 4001,002102 4,38.95696521,-77.01501467,0,RESIDENTIAL,1,NA,NA,NA
262214,ACTIVE,ADDRESS,OFFICIAL,NW,3250 QUESADA STREET NW,1829,Chevy Chase,Georgia Avenue/Rock Creek East Collaborative,001500,Precinct 51,Ward 4,20015,ANC 3G,001500 2006,001500 2,38.96848796,-77.06610919,0,RESIDENTIAL,1,NA,NA,NA
300365,ACTIVE,ADDRESS,OFFICIAL,NW,2425 L STREET NW,519,Central-tri 1,Columbia Heights/Shaw Collaborative,005500,Precinct 4,Ward 2,20037,ANC 2A,005500 2010,005500 2,38.90423873,-77.052352870000007,225,RESIDENTIAL,225,121650,406,CONDO
248738,ACTIVE,ADDRESS,OFFICIAL,NW,406 KENNEDY STREET NW,2366,Petworth,Georgia Avenue/Rock Creek East Collaborative,002102,Precinct 56,Ward 4,20011,ANC 4D,002102 6004,002102 6,38.9562697,-77.0186573,4,RESIDENTIAL,4,171167,2,RENTAL
